user.key;datetime;meter.reading;diff
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 01:19:43;68321;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 02:19:43;68321;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 03:19:43;68321;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 04:19:43;68321;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 05:39:54;68321;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 06:39:54;68321;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 07:39:54;68321;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 08:39:54;68321;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 09:19:43;68326;5
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 10:19:43;68338;12
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 11:19:43;68344;6
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 12:19:43;68349;5
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 13:22:48;68355;6
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 14:22:48;68367;12
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 15:22:48;68367;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 16:22:48;68372;5
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 17:19:50;68377;5
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 18:19:50;68377;0
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 19:19:50;68404;27
1f8730a9-5d67-4895-9215-6e247087ea00;01/03/2016 20:19:50;68404;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 01:38:14;68429;25
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 02:38:14;68429;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 03:38:14;68429;0
1f8730a9-5d67-4895-9215-6e247087ea00;02/03/2016 04:38:14;68429;0
